,Estado,FechasFechaPublicacion,Nombre,CompradorNombreOrganismo,CompradorCodigoOrganismo,AdjudicacionUrlActa,CodigoExterno
2920,Desierta o art 3 o 9 Ley 19 886,2016-11-09T14:03:02.643,MATERIALES PROY 919 PMU E CONSTRUCCION CIERRE PERIMETRAL CANCHA EL ROBLE LOTA,MUNICIPALIDAD DE LOTA,113259,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=3/L4Tbw1ujfTN1rJwAzXJ2NjRlz7+ASRwaLm5j1AgxA=,3017-728-L116
2928,Adjudicada,2016-11-09T15:44:12.963,MATERIALES PROY 919 PMU E CONSTRUCCION CIERRE PERIMETRAL CANCHA EL ROBLE LOTA,MUNICIPALIDAD DE LOTA,113259,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=8w1M8iiN54huHb2byjmC0EcidDaZWIR3N6gzFdKDjq8=,3017-825-L116
2929,Adjudicada,2016-11-09T16:44:39.327,MATERIALES PROY 919 PMU E CONSTRUCCION CIERRE PERIMETRAL CANCHA EL ROBLE LOTA,MUNICIPALIDAD DE LOTA,113259,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=LZ1qS+BjM6p9G2hqnHH5cvIxlVVS6OXuO0emn9cTLAg=,3017-826-L116
4783,Desierta o art 3 o 9 Ley 19 886,2016-11-09T14:23:53.133,Adquisicion de Componentes de Sistema de Llamado,Hospital Provincial del Huasco Monsenor Fernando Ariztia Ruiz,7412,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=gchmzVpLtlAolmBJmy71FEi+PiHCnq/IiM0SFCVBVkQ=,5349-216-L116
78,Desierta o art 3 o 9 Ley 19 886,2016-11-09T14:30:52.117,LIcitacion 351 16 suministro de aparatos de ortodo,Servicio de Salud Araucania Sur,7102,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=N2v5fMU/hqpFE8Jm4El9IKscP+MebeL3X7OdUbB5PUM=,1175-348-LE16
682,Adjudicada,2016-11-04T14:58:22.263,COMPRA REACTIVOS LABORATORIO,Hospital Santa Filomena de Graneros,7449,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=q3Lkcx+bmFaSlQMv0ZUvNQD5yUoGwFaNTPMGqL+Bs4s=,1628-163-L116
684,Desierta o art 3 o 9 Ley 19 886,2016-11-09T15:13:13.78,COMPRA REACTIVOS LABORATORIO,Hospital Santa Filomena de Graneros,7449,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=5lCISJSlDyHiXy0qWfCP7rGCp0N3i8A4T5nk8fitctA=,1628-165-L116
687,Adjudicada,2016-11-14T09:30:52.377,COMPRA REACTIVOS LABORATORIO,Hospital Santa Filomena de Graneros,7449,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=LbCzEsz06jJsr5erwfgRjR7tzNPMATnr1wewIL32kXo=,1628-170-L116
689,Adjudicada,2016-11-16T16:44:42.25,COMPRA REACTIVOS LABORATORIO,Hospital Santa Filomena de Graneros,7449,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=mjdclReY9hkTUbQCzyZLjPS8cxDcIngw5aG2yG7HmaQ=,1628-173-L116
691,Adjudicada,2016-11-22T16:24:04,COMPRA REACTIVOS LABORATORIO,Hospital Santa Filomena de Graneros,7449,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=NcN+cv+3yTqMVk5+csF5mF8hvQC1t2L7KVmp80uWNLI=,1628-176-L116
723,Desierta o art 3 o 9 Ley 19 886,2016-11-09T15:49:27.84,Conv Suministro Bajada de suero,Hospital de Tome,7315,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=r8n3XGwN8qE/GRx8BO3dvk6CfkQ7i9DN3n5UoBq1ntM=,1640-81-LE16
3969,Desierta o art 3 o 9 Ley 19 886,2016-11-09T15:53:01.22,SERVICIOS DE ALIMENTACION,ILUSTRE MUNICIPALIDAD DE MAULLIN,120791,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=oW9t4RQZd+UdrYGHBGiZvMDlc5ODmYjkXJxVSK407CE=,4086-193-L116
5469,Desierta o art 3 o 9 Ley 19 886,2016-11-09T15:53:04.137,ADQUISICION DE VESTUARIO CORRIENTE VIALIDAD ATACAM,MOP Direccion de Vialidad,7248,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=EiH4V5W6p+Y+3qK3yatkOi8BqGlcnV76RIncoNIzKT0=,994-86-L116
5470,Desierta o art 3 o 9 Ley 19 886,2016-11-09T16:25:25.547,ADQUISICION DE VESTUARIO SOCIAL VIALIDAD ATACAMA,MOP Direccion de Vialidad,7248,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=G6ywXN0Fwwk9DmjaOPPx9Y/CuZ8L3WxLIkDQdQQa7no=,994-87-L116
4855,Desierta o art 3 o 9 Ley 19 886,2016-11-09T16:50:22.203,LIBROS BIBLIOTECA MEDICA SEC LIBROS N 58,Universidad de la Frontera,277559,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=fDGLhKffYezQojeCIj1bXZOeUMqzyWs1oRTae5gdKAI=,5586-709-L116
1079,Desierta o art 3 o 9 Ley 19 886,2016-11-09T17:39:37.577,Polizas seguro automotriz TRANSFERENCIAS,Defensa Civil de Chile,7129,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=A/tWdKJw0u25lRdfWgceAA9Qrv2rZ0UwSUColbYkuDQ=,1946-8-E216
3728,Desierta o art 3 o 9 Ley 19 886,2016-11-09T21:02:01.883,ADQUISICION EQUIPOS POSTA S R LOMA DE LA PIEDRA,Ilustre Municipalidad de San Juan de la Costa,118085,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=TvlrgE/YUOTGEvi1BpF2iTZWyYC2pG2WxOyqK1mz4W4=,3888-70-LE16
5471,Desierta o art 3 o 9 Ley 19 886,2016-11-10T09:11:38.063,ADQUISICION DE CEPILLOS PARA BARREDORA VIALIDAD,MOP Direccion de Vialidad,7248,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=xtsLPibaO83VvCxZ9q3gj38rFwiGlE7yBbFLRb5n/YA=,994-88-LE16
3412,Desierta o art 3 o 9 Ley 19 886,2016-11-10T09:19:53.177,COMPRA DE MATERIALES FERRETERIA ESCUELAS MUNICIPALES RURALES,Municipalidad de Carahue,115186,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Y3Oc/pmfd7w0TzxDm3azr6oUuBl4/uKLfz0RzHD6dwc=,3586-345-L116
2931,Desierta o art 3 o 9 Ley 19 886,2016-11-10T09:52:06.243,MATERIALES PROY 908 PMU E MEJORAMIENTO CARPETAS MULTICANCHA CASAS QUIERO LOTA ALTO,MUNICIPALIDAD DE LOTA,113259,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=6ftw10yrRjx5Swit2G5aL2xeceMMdlG8rmiVAE6gddA=,3017-829-L116
2972,Adjudicada,2016-11-28T11:27:22.527,MATERIALES PROY 908 PMU E MEJORAMIENTO CARPETAS MULTICANCHA CASAS QUIERO LOTA ALTO,MUNICIPALIDAD DE LOTA,113259,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Lswrb8PUl+H8dacr5aDHKXlUEaR6UN96zpbu5NggTDA=,3017-897-L116
783,Desierta o art 3 o 9 Ley 19 886,2016-11-10T11:07:48.65,SBA ADQ INSUMOS VARIOS MES DE NOV/16 LABORATORIO CLINICO HETG,Servicio de Salud Iquique,7453,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=VkuO54Uu0I7ojT6/P+/wS4maPBJVT9d5qNXqoMo2YGs=,1647-1796-L116
805,Adjudicada,2016-11-17T08:55:33.413,SBA ADQ INSUMOS VARIOS MES DE NOV/16 LABORATORIO CLINICO HETG,Servicio de Salud Iquique,7453,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=q1yQ8eBz6hj1TZ/u9Q0UWoyYMUJxkVcvqOSjk3mnDJw=,1647-1851-L116
1891,Desierta o art 3 o 9 Ley 19 886,2016-11-10T11:12:00,SERVICIO DE LIMPIEZA y MANTENCION DE LA QUEBRADA SAN FRANCISCO DE ASIS,MUNICIPALIDAD DE LAS CONDES,86571,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=/BMrVBOQbUSDpgPgesNx6UFFsQQ5Uau34M6hzZcIsAo=,2345-376-LE16
3556,Desierta o art 3 o 9 Ley 19 886,2016-11-10T11:27:58.29,SERVICIO TRANSPORTE VIAJES ESPECIAL DE ESTUDIO,Ilustre Municipalidad de Laja,116405,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=SiKDgbR3smDf4a6j0ZH28CphknlKjzR+1iA8elYUhKo=,3736-94-L116
786,Desierta o art 3 o 9 Ley 19 886,2016-11-10T11:47:33.327,SBA ADQ INSUMOS VARIOS IV MES DE NOV/16 LABORATORIO CLINICO HETG,Servicio de Salud Iquique,7453,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=O74hn0WnpVVrKSrsqq+9IWySAl1XJ5oymhci07JAEM4=,1647-1800-L116
1003,Desierta o art 3 o 9 Ley 19 886,2016-11-10T11:55:36.783,solicita compra de articulos para artes segun memo 800/2554/sep16 liceo juan gomez millas,Ilustre Municipalidad de El Bosque,7496,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=DDXF4JTtad5d1LXlG0mU2RjeVSbxj/GX4JfU6fAtP4c=,1736-925-L116
885,Desierta o art 3 o 9 Ley 19 886,2016-11-10T12:06:09.507,NCN SECCION RENAL PROGRAMACION NOV,Hospital Clinico San Borja Arriaran,7326,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Zz3t4Fy6/8c0v4MgU2loUkLBbXhree34zUA14ApbuiQ=,1669-1511-L116
2476,Desierta o art 3 o 9 Ley 19 886,2016-11-10T12:15:06.593,PTR N 184 INSUMOS ORTOPEDICOS KINESIOLOGIA CESFAM,MUNICIPALIDAD DE VITACURA,98462,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=vHovE42NwMKYGg73juB5vtkfsX04U0GsVq8n+mi7SCQ=,2669-176-L116
2489,Desierta o art 3 o 9 Ley 19 886,2016-11-22T16:54:32.827,PTR N 184 INSUMOS ORTOPEDICOS KINESIOLOGIA CESFAM,MUNICIPALIDAD DE VITACURA,98462,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=MXeuY21nz3osvps84Y6IB8ovJplTcez6VoWRrilGgKs=,2669-193-L116
2494,Adjudicada,2016-11-29T10:03:28.253,PTR N 184 INSUMOS ORTOPEDICOS KINESIOLOGIA CESFAM,MUNICIPALIDAD DE VITACURA,98462,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=21VhbvbcVdpSbvtKZIhsdFMsWqWYDxB3reD0hsXKNkw=,2669-199-L116
27,Desierta o art 3 o 9 Ley 19 886,2016-11-10T12:43:00,Suministro vestuario social para funcionarios de la DRV Maule,MOP Direccion de Vialidad,7248,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=pU2/JBa9wNPkiSlkpY7QjEesg96raQFhCrkYjyjPMzs=,1029-105-L116
1822,Desierta o art 3 o 9 Ley 19 886,2016-11-10T12:56:30.637,Premios y accesorios para Proyecto FNDR El Deporte Alternativo es mi Escuela,I MUNICIPALIDAD DE VALLENAR,86491,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=p3RRRl3coBPj1giDni+CJIFylXKrM8WHi/O/iUTR9R0=,2322-207-L116
624,Desierta o art 3 o 9 Ley 19 886,2016-11-10T13:39:19.24,IMPLEMENTOS DE SEGURIDAD CITURORES Y AUTORESCATADO,Servicio Nacional de Geologia y Mineria,7210,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=EFgWgcdgwfDqrzXczxbenYbBuu+2sMB7L+t8rxIiHBQ=,1562-99-L116
1892,Desierta o art 3 o 9 Ley 19 886,2016-11-10T13:48:00,SERVICIO DE LIMPIEZA y MANTENCION DE LA QUEBRADA APOQUINDO,MUNICIPALIDAD DE LAS CONDES,86571,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=wVju7tk9bzIxW9tX2WwCbZ10GMDMNQ6YAeXGinUUcSU=,2345-377-LE16
3737,Desierta o art 3 o 9 Ley 19 886,2016-11-10T13:56:35.007,CAP MANEJO PLANTAS MEDIC Y PRODUCTOS COSMETIICOS,Ilustre Municipalidad de Freire,118089,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=CYAssIFnLuopHQLrYNNuENVYlkegHmYXmatymemWROo=,3890-275-L116
2883,Desierta o art 3 o 9 Ley 19 886,2016-11-10T13:58:17.157,Insumos Alimenticios,Ilustre Municipalidad de Monte Patria,112924,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=5X98YckoQ7lQ5WOGkxpn49RvVbdYiHxCRVXL1hj40qs=,2992-203-L116
3209,Desierta o art 3 o 9 Ley 19 886,2016-11-10T14:58:59.643,Servicio de grabados,Ejercito de Chile,111870,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=WK+njWkWnkqEKz+3IiFdK8f220qPXtJPrnJjU+9Xsc0=,3347-30-L116
3068,Desierta o art 3 o 9 Ley 19 886,2016-11-10T15:09:40.97,ADQUISICION DE TERMOS Y VALVULAS,ARMADA DE CHILE,111875,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=lumZnv0cr8wWemPbFg2LNoZ8VxjYnvepkin4xjGg/q0=,3166-63-L116
4392,Desierta o art 3 o 9 Ley 19 886,2016-11-10T15:17:00,Catalogos diseno y fotografias artesanos,Ilustre Municipalidad de La Estrella,165285,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=YV6zq4zxOb81dtEDeQt/Ul8Zo6y8heH/y3OPg2ySWlk=,4768-60-L116
3738,Desierta o art 3 o 9 Ley 19 886,2016-11-10T15:26:11.943,CAP EN HORT Y ELAB CONSERVAS Y MERMELADAS U O,Ilustre Municipalidad de Freire,118089,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ngm2YGF1resPoKCRkiF/XgAYyqIsXSzfYVPdOx48oB0=,3890-277-L116
4867,Desierta o art 3 o 9 Ley 19 886,2016-11-10T15:56:28.683,DEFENSAS PARA EMBARCACION Y OTROS,ARMADA DE CHILE,111875,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=SIm4oT/o4Qc9wxeI3/Rp9kL83N6ACJlCbFZYe/pA+EM=,559803-60-LE16
3618,Desierta o art 3 o 9 Ley 19 886,2016-11-10T16:12:31.847,Alimentos Jornada de microcentro Profesores de la Comuna de Pelarco,Ilustre Municipalidad de Pelarco,116729,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=DNhkOIeuLKorydM8qhyKkSjzckrnQbGzEkz8s5nNFKo=,3767-65-L116
3210,Desierta o art 3 o 9 Ley 19 886,2016-11-10T16:21:44.717,Adquisicion de cocina y campana FORA,Ejercito de Chile,111870,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Waa5cuCalCxdouE0yw1XXv5YDboVQ7C4ZiMxsH8Y3Fk=,3347-31-L116
1957,Desierta o art 3 o 9 Ley 19 886,2016-11-10T16:41:14.58,os N 6003 insumos de gasfiteria para reforestacion,I MUNICIPALIDAD DE COPIAPO,86872,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=cfckAd7uhPNRIPzbTpNbQPLaL+O6uoN7QXMqunpXJvI=,2380-102-L116
790,Desierta o art 3 o 9 Ley 19 886,2016-11-10T16:50:41.463,ehcl PROYECTO OBRAS DAMAS DE ROJO Y FARMACIA CENTRAL,Servicio de Salud Iquique,7453,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=moL9M8mCuoJyN+wMQ4IisZAQFYg9wES4Kg1PBL8Rfb8=,1647-1806-LE16
4888,Desierta o art 3 o 9 Ley 19 886,2016-11-10T17:00:48.69,ADQ DE BARRAS Y ADAPTADOR PARA MOLINETE DGA XIV,Direccion General de Aguas MOP,7247,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=B9gs1AXKTzAA9aiQzALBU1romEoApQGfTIjJZHLJlL8=,5617-18-L116
3701,Desierta o art 3 o 9 Ley 19 886,2016-11-10T17:03:01.967,Servicio de alojamiento para artistas Ranchero,Ilustre Municipalidad de Primavera,117585,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=hIqDaJxBlKzj9weUvP5hyt12rHhxmgw1S6/me5QSRyE=,3866-64-LE16
5292,Desierta o art 3 o 9 Ley 19 886,2016-11-10T17:18:00,TRABAJOS EN PSIQUIATRIA ADULTO E INFANTIL HCSBA,Hospital Clinico San Borja Arriaran,7326,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=QqlQrRhmv+lzhdDh9XyNDTW5mFGylZQyNSiS1em8d2M=,831756-144-LE16
1302,Desierta o art 3 o 9 Ley 19 886,2016-11-11T08:42:00,CONVENIO DE MANTENCION PREVENTIVA Y CORRECTIVA DE MONITORES MULTIPARAMETROS DE SIGNOS VITALES MINDRAY,Hospital Intercultural Kallvu Llanka,7401,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=DkySq2b72dE5BXIXju+wttymbKHL91ZZ9LrmjYGzFN4=,2101-102-LE16
685,Desierta o art 3 o 9 Ley 19 886,2016-11-11T09:33:25.267,COMPRA VERDURA DICIEMBRE 2016,Hospital Santa Filomena de Graneros,7449,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=W91YvBYfOVzxw1a7IfT5TDlk47ti4nUIRbUqp3jLDfw=,1628-167-L116
692,Adjudicada,2016-11-28T10:43:59.847,COMPRA VERDURA DICIEMBRE 2016,Hospital Santa Filomena de Graneros,7449,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=WExv3squG/bFmnEhZcSefh4Qcgq77akQmnCObEGGaO4=,1628-177-L116
2825,Desierta o art 3 o 9 Ley 19 886,2016-11-11T09:58:48.15,U Operaciones,ILUSTRE MUNICIPALIDAD DE CHANARAL,109196,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=sSFD+42TfGPSlnIakPu1tK0Qv1wzi4wQWajiTA1NbtE=,2923-84-L116
2828,Cerrada,2016-11-18T16:09:46.423,U Operaciones,ILUSTRE MUNICIPALIDAD DE CHANARAL,109196,,2923-89-L116
4857,Desierta o art 3 o 9 Ley 19 886,2016-11-11T10:34:09.98,B/S COMPONENTES PARA UN SISTEMA DE POSICIONAMIENTO LINEAL,Universidad de la Frontera,277559,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=usMvKW940FZ815XCEZJKystveQyNjFe0JTjuzHqMm2E=,5586-732-L116
1034,Desierta o art 3 o 9 Ley 19 886,2016-11-11T11:14:40.8,repuestos demarcadora vial,Ilustre Municipalidad de San Miguel,7498,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Ibfwt9CzTb2hT9OGrnkMJ5apTDPb60mpillLNmEuSG0=,1741-419-L116
2001,Desierta o art 3 o 9 Ley 19 886,2016-11-11T12:16:31.057,INSUMOS MEDICOS,ILUSTRE MUNICIPALIDAD DE RANCAGUA,87167,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=CIakYngKFEH6I08g+C0VI9XKd2qzynv/AO98FM/QtnY=,2401-463-L116
2006,Desierta o art 3 o 9 Ley 19 886,2016-11-21T13:19:42.29,INSUMOS MEDICOS,ILUSTRE MUNICIPALIDAD DE RANCAGUA,87167,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=iEieXBBFDKCtfes5Xx45QEdKquvG/wnPLxqCrVtNWOk=,2401-472-L116
5455,Desierta o art 3 o 9 Ley 19 886,2016-11-11T12:47:55.09,ADQUISICION DE REPUESTOS PARA RED RADIOMETRICA NACIONAL DE LA DIRECCION METEOROLICA DE CHILE MRB 116,Direccion General de Aeronautica Civil,7202,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=JzTCGW4tZ46ZqyNB+yYK+GR6AF5HnnH3UOM5oXIhxlg=,938-96-LE16
3928,Desierta o art 3 o 9 Ley 19 886,2016-11-11T12:53:01.75,POLERAS DEPORTIVAS,Ilustre Municipalidad de Fresia,119651,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=+SjYoAZylnQyK3QbWf7LAxMQSjBWHE76AnNSO7OdN5c=,4037-146-L116
5479,Desierta o art 3 o 9 Ley 19 886,2016-11-11T13:26:44.787,SENALES VERTICALES INFORMATIVAS,MOP Direccion de Vialidad,7248,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=PoWQIUmPtDOV1/pAXYhYmnkuBXLSQmnKAzKX1cxhLC8=,999-59-L116
5234,Desierta o art 3 o 9 Ley 19 886,2016-11-11T14:00:05.137,ADQUISICION DE PASAJES TERRESTRES BASE IM TUMBES,ARMADA DE CHILE,111875,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=yd1HW5LBm2jbNQALtv9PWox/fuWl12uh+2Bq9gJmY40=,763003-26-L116
5237,Desierta o art 3 o 9 Ley 19 886,2016-11-22T15:02:00,ADQUISICION DE PASAJES TERRESTRES BASE IM TUMBES,ARMADA DE CHILE,111875,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Qo5uKNfoszZpKEIzRTttkF9LaoULnJV4BGlWPKECdZM=,763003-29-E216
326,Desierta o art 3 o 9 Ley 19 886,2016-11-11T14:27:00,ADQUISICION DE EVALUACION EXTERNA DE CALIDAD,Hospital de Taltal,7391,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ZnLxMTS4CCEaFmbkqkSDpB62GWh1Erxx0tBw0Fk2SWY=,1544-84-L116
328,Adjudicada,2016-11-22T17:16:31.177,ADQUISICION DE EVALUACION EXTERNA DE CALIDAD,Hospital de Taltal,7391,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=4b47ZibhXSvgzvgqfIsev1C52rK7DM9kApuP8QhVrGY=,1544-86-L116
1647,Desierta o art 3 o 9 Ley 19 886,2016-11-11T15:39:47.55,MEDICAMENTOS D C N 2952 ear,I MUNICIPALIDAD DE LA PINTANA,83825,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=9SODSjEWKPJQKXq8JJ3b1jAyzZe/9SyiBhqhbblqjGk=,2273-1063-L116
1000,Desierta o art 3 o 9 Ley 19 886,2016-11-11T15:44:03.263,MEMORANDUM 1000A/729/2016 MEDIO AMBIENTE,Ilustre Municipalidad de El Bosque,7496,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=PL9xeeJvHJN4W/ud2RnQKYT6UW/CAYoczW2Kyus5D94=,1736-922-L116
5480,Desierta o art 3 o 9 Ley 19 886,2016-11-11T15:52:24.613,GRAVILLA Y POLVO ROCA DESTINADO AL CAMINO PIMERA AGUA EL VILLORRIO,MOP Direccion de Vialidad,7248,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=+j7zaeat+F5jjHzs669fsPhknc36a5YDbn6RHq7dExk=,999-60-L116
5238,Desierta o art 3 o 9 Ley 19 886,2016-11-11T15:55:00,ADQUISICION EQUIPAMIENTO TECNOLOGICO POLICIAL,Gobierno Regional de Tarapaca,7084,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=D/Oqme2OCCWRfSQxHN5NF0iwZDYJZ3px2iVthUYDCdI=,768-23-LQ16
5437,Desierta o art 3 o 9 Ley 19 886,2016-11-11T15:57:00,Suministro de ferreteria Victoria Tco y Valdivia,Ejercito de Chile,111870,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=DOCBcbLunWywpcwgzlAs4jXZ+mPKbliroKU5TEZsN28=,926853-2-LE16
2345,Desierta o art 3 o 9 Ley 19 886,2016-11-11T16:08:47.35,JUEGOS INFANTILES ESCUELA PORVENIR,ILUSTRE MUNICIPALIDAD DE RIO CLARO,89591,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=Xa+tbtmoxPNazGDaPMIpmBOOtN3Nzaufme+rTSZd6pE=,2504-43-L116
118,Desierta o art 3 o 9 Ley 19 886,2016-11-11T16:11:40.357,CONVENIO DE PLACAS DCP Y PELVIS PARA UNIDAD DE TRAUMATOLOGIA DEL HOSPITAL CLINICO HERMINDA MARTIN vfj,Hospital Herminda Martin,7042,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=wF3VOl1tEz7/mnxBbrYRAqmmS36C2SBQ9FBJF0GCAxU=,1370-73-LQ16
3007,Desierta o art 3 o 9 Ley 19 886,2016-11-11T16:35:48.83,Luminarias y Banquetas para Escuela Los Cuarteles,Ilustre Municipalidad de Retiro,113252,http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=c6nFTrOH9uItIvDMO+OGwV5YBPSm0b7Re/E2IpW0K6s=,3024-125-L116
